months,Contact Rate,Infected,Infection Rate,Infectivity,Population,Recovered,Recovery Rate,Recovery Time,Susceptible
45.3,100,0.000448844100427,1.03940175587e-16,0.2,2500,1000.99955116,0.000149614700142,3,2.89466252001e-11
45.4,100,0.000433882630413,1.00475466989e-16,0.2,2500,1000.99956612,0.000144627543471,3,2.8946614806e-11
45.5,100,0.000419419876066,9.71262510427e-17,0.2,2500,1000.99958058,0.000139806625355,3,2.89466047585e-11
45.6,100,0.00040543921353,9.38886778382e-17,0.2,2500,1000.99959456,0.00013514640451,3,2.89465950459e-11
45.7,100,0.000391924573079,9.07590258058e-17,0.2,2500,1000.99960808,0.00013064152436,3,2.8946585657e-11
45.8,100,0.000378860420643,8.77336974376e-17,0.2,2500,1000.99962114,0.000126286806881,3,2.89465765811e-11
45.9,100,0.000366231739955,8.48092151517e-17,0.2,2500,1000.99963377,0.000122077246652,3,2.89465678077e-11
46,100,0.00035402401529,8.19822172937e-17,0.2,2500,1000.99964598,0.000118008005097,3,2.89465593268e-11
46.1,100,0.00034222321478,7.92494542722e-17,0.2,2500,1000.99965778,0.000114074404927,3,2.89465511286e-11
46.2,100,0.000330815774288,7.66077848229e-17,0.2,2500,1000.99966918,0.000110271924763,3,2.89465432036e-11
46.3,100,0.000319788581812,7.40541723969e-17,0.2,2500,1000.99968021,0.000106596193937,3,2.89465355429e-11
46.4,100,0.000309128962418,7.15856816698e-17,0.2,2500,1000.99969087,0.000103042987473,3,2.89465281374e-11
46.5,100,0.000298824663671,6.91994751676e-17,0.2,2500,1000.99970118,0.0000996082212235,3,2.89465209789e-11
46.6,100,0.000288863841548,6.68928100039e-17,0.2,2500,1000.99971114,0.0000962879471827,3,2.89465140589e-11
46.7,100,0.00027923504683,6.46630347274e-17,0.2,2500,1000.99972076,0.0000930783489433,3,2.89465073696e-11
46.8,100,0.000269927211936,6.25075862731e-17,0.2,2500,1000.99973007,0.0000899757373119,3,2.89465009033e-11
46.9,100,0.000260929638204,6.04239870159e-17,0.2,2500,1000.99973907,0.0000869765460682,3,2.89464946526e-11
47,100,0.000252231983598,5.84098419227e-17,0.2,2500,1000.99974777,0.0000840773278659,3,2.89464886102e-11
47.1,100,0.000243824250811,5.64628357985e-17,0.2,2500,1000.99975618,0.0000812747502704,3,2.89464827692e-11
47.2,100,0.000235696775784,5.45807306254e-17,0.2,2500,1000.9997643,0.000078565591928,3,2.89464771229e-11
47.3,100,0.000227840216591,5.27613629894e-17,0.2,2500,1000.99977216,0.0000759467388637,3,2.89464716648e-11
47.4,100,0.000220245542705,5.10026415934e-17,0.2,2500,1000.99977975,0.0000734151809016,3,2.89464663887e-11
47.5,100,0.000212904024615,4.93025448533e-17,0.2,2500,1000.9997871,0.0000709680082049,3,2.89464612884e-11
47.6,100,0.000205807223794,4.76591185741e-17,0.2,2500,1000.99979419,0.0000686024079314,3,2.89464563582e-11
47.7,100,0.000198946983001,4.6070473703e-17,0.2,2500,1000.99980105,0.0000663156610004,3,2.89464515923e-11
47.8,100,0.000192315416901,4.45347841582e-17,0.2,2500,1000.99980768,0.000064105138967,3,2.89464469852e-11
47.9,100,0.000185904903004,4.30502847295e-17,0.2,2500,1000.9998141,0.0000619683010015,3,2.89464425318e-11
48,100,0.000179708072904,4.16152690493e-17,0.2,2500,1000.99982029,0.0000599026909681,3,2.89464382267e-11
